candidate_id,rank,score,name,title,company,location,years_exp,open_to_work,last_active,response_rate,notice_period,github_score,profile_completeness,skills_count,top_skills,willing_to_relocate,interview_completion,salary_min,salary_max,reasoning,verified_email,verified_phone,headline,summary
CAND_0070525,11,0.7465,Ved Kumar,Senior Software Engineer (ML),Mad Street Den,"Hyderabad, Telangana",5.4,True,2026-05-25,0.93,45,18.4,95.6,12,"Apache Beam, Recommendation Systems, Feature Engineering, Python, GANs",False,0.89,29.3,44.1,Senior Software Engineer (ML) | 5.4 yrs exp | 5 AI skills matched | moderate semantic match | open to work | active this month | response rate 93%,True,True,Senior Software Engineer (ML) | Building ML-powered solutions,"Data scientist / ML engineer with 5.4 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter on the deep-learning side — mostly classical methods like collaborative filtering and gradient-boosted models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I want to grow into senior AI engineering — get serious about LLMs and retrieval beyond the surface level."
CAND_0080534,12,0.7381,Manish Iyer,ML Engineer,Genpact AI,"Vizag, Andhra Pradesh",3.8,True,2026-05-26,0.91,30,81.1,95.7,17,"Elasticsearch, OpenSearch, Airflow, Kubeflow, Fine-tuning LLMs",False,0.89,29.0,45.2,ML Engineer | 3.8 yrs exp | 12 AI skills matched | moderate semantic match | open to work | active this month | response rate 91%,False,True,ML Engineer | Data Science & ML enthusiast,"Data scientist / ML engineer with 3.8 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. Most of my recent work has been on predictive modeling for customer-facing problems — churn, conversion, lifetime value. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. Looking for a role where I can step up to more end-to-end ownership of ML systems, not just modeling."
CAND_0007596,13,0.7374,Shaurya Gupta,Junior ML Engineer,Flipkart,"Delhi, Delhi",4.4,True,2026-05-22,0.86,45,-1.0,87.8,17,"Reinforcement Learning, YOLO, scikit-learn, Object Detection, Machine Learning",False,0.97,27.2,49.5,Junior ML Engineer | 4.4 yrs exp | 8 AI skills matched | moderate semantic match | open to work | active this month | response rate 86%,False,True,Junior ML Engineer | 4.4 yrs in analytics & ML,"Data scientist / ML engineer with 4.4 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. My current role is split between dashboarding/analytics and shipping production ML models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems."
CAND_0066690,14,0.7347,Advik Sen,ML Engineer,Freshworks,"Gurgaon, Haryana",4.8,True,2026-05-27,0.88,30,38.2,88.0,16,"Hugging Face Transformers, Sentence Transformers, Angular, pgvector, Data Science",True,0.65,26.8,36.2,ML Engineer | 4.8 yrs exp | 10 AI skills matched | moderate semantic match | open to work | active this month | response rate 88%,False,True,ML Engineer | 4.8 yrs in analytics & ML,"Data scientist / ML engineer with 4.8 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. My current role is split between dashboarding/analytics and shipping production ML models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. Looking for a role where I can step up to more end-to-end ownership of ML systems, not just modeling."
CAND_0002025,15,0.7328,Ira Dalal,Senior AI Engineer,Apple,"Trivandrum, Kerala",5.9,True,2026-05-26,0.8,30,96.9,81.8,20,"Diffusion Models, FAISS, TensorFlow, scikit-learn, OpenSearch",False,0.81,32.5,63.6,Senior AI Engineer | 5.9 yrs exp | 15 AI skills matched | strong semantic match | open to work | active this month | response rate 80%,True,True,Senior AI Engineer | Building AI-native search & ranking systems,"Senior AI engineer with 5.9 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval system combining BM25 with dense vector recall, across a corpus of 30M+ candidate profiles. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I care more about shipping a working system in 6 weeks than a theoretically perfect one in 6 months. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end."
CAND_0072688,16,0.7293,Rajesh Goyal,Data Scientist,Niramai,"Pune, Maharashtra",6.9,True,2026-05-23,0.87,45,11.2,96.0,16,"Milvus, Apache Flink, Data Science, Time Series, Object Detection",True,0.85,34.4,33.4,Data Scientist | 6.9 yrs exp | 9 AI skills matched | moderate semantic match | open to work | active this month | response rate 87%,True,True,Data Scientist | 6.9 yrs in analytics & ML,"Data scientist / ML engineer with 6.9 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. Most of my recent work has been on predictive modeling for customer-facing problems — churn, conversion, lifetime value. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems."
CAND_0004402,17,0.7289,Priya Malhotra,AI Research Engineer,Yellow.ai,"Delhi, Delhi",6.0,True,2026-05-25,0.83,60,-1.0,93.4,16,"TypeScript, TTS, OpenSearch, Speech Recognition, Object Detection",False,0.6,32.2,50.0,AI Research Engineer | 6.0 yrs exp | 9 AI skills matched | strong semantic match | open to work | active this month | response rate 83%,True,True,AI Research Engineer | 6.0 yrs in analytics & ML,"Data scientist / ML engineer with 6.0 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. My current role is split between dashboarding/analytics and shipping production ML models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I want to grow into senior AI engineering — get serious about LLMs and retrieval beyond the surface level."
CAND_0092706,18,0.7286,Karan Kumar,AI Research Engineer,Unacademy,"Delhi, Delhi",5.8,True,2026-05-27,0.78,120,65.1,99.1,13,"Weights & Biases, Speech Recognition, Data Science, Agile, Sentence Transformers",True,0.76,36.2,32.9,AI Research Engineer | 5.8 yrs exp | 7 AI skills matched | strong semantic match | open to work | active this month | response rate 78%,True,True,AI Research Engineer | Building ML-powered solutions,"Data scientist / ML engineer with 5.8 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter on the deep-learning side — mostly classical methods like collaborative filtering and gradient-boosted models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems."
CAND_0053605,19,0.7254,Myra Mishra,Senior Software Engineer (ML),Verloop.io,"Noida, Uttar Pradesh",6.9,True,2026-05-22,0.88,30,-1.0,87.3,14,"GraphQL, LangChain, CNN, pgvector, GCP",False,0.97,33.2,34.1,Senior Software Engineer (ML) | 6.9 yrs exp | 3 AI skills matched | moderate semantic match | open to work | active this month | response rate 88%,True,False,Senior Software Engineer (ML) | 6.9 yrs in analytics & ML,"Data scientist / ML engineer with 6.9 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last couple of years building NLP-based classification and information extraction pipelines. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. Looking for a role where I can step up to more end-to-end ownership of ML systems, not just modeling."
CAND_0011327,20,0.7253,Pranav Krishnan,AI Research Engineer,Krutrim,"Gurgaon, Haryana",6.3,True,2026-05-25,0.79,60,-1.0,90.1,12,"Time Series, Sales, Weights & Biases, MLflow, Sentence Transformers",False,0.77,17.2,48.8,AI Research Engineer | 6.3 yrs exp | 6 AI skills matched | strong semantic match | open to work | active this month | response rate 79%,True,True,AI Research Engineer | Building ML-powered solutions,"Data scientist / ML engineer with 6.3 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. Most of my recent work has been on predictive modeling for customer-facing problems — churn, conversion, lifetime value. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems."
CAND_0055905,21,0.7252,Anika Rao,Senior Machine Learning Engineer,Flipkart,London,8.1,True,2026-05-17,0.87,30,-1.0,56.7,13,"Elasticsearch, ASR, Hugging Face Transformers, Haystack, Speech Recognition",False,0.67,38.9,64.1,Senior Machine Learning Engineer | 8.1 yrs exp | 11 AI skills matched | strong semantic match | open to work | active this month | response rate 87%,True,True,"Senior Machine Learning Engineer | LLMs, RAG, Vector Search | ex-Top Tech","Senior AI engineer with 8.1 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I led the migration from keyword-based ranking to a learning-to-rank model with embedded behavioral signals, serving 50M+ queries per month. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I care more about shipping a working system in 6 weeks than a theoretically perfect one in 6 months. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end."
CAND_0026942,22,0.7235,Sneha Nair,Junior ML Engineer,Verloop.io,"Chandigarh, Chandigarh",6.0,True,2026-05-26,0.84,30,67.1,92.6,18,"Learning to Rank, LangChain, CNN, Microservices, TensorFlow",True,0.6,18.6,39.1,Junior ML Engineer | 6.0 yrs exp | 7 AI skills matched | moderate semantic match | open to work | active this month | response rate 84%,True,False,Junior ML Engineer | Data Science & ML enthusiast,"Data scientist / ML engineer with 6.0 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. Most of my recent work has been on predictive modeling for customer-facing problems — churn, conversion, lifetime value. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I want to grow into senior AI engineering — get serious about LLMs and retrieval beyond the surface level."
CAND_0053591,23,0.7205,Anjali Bhatia,AI Engineer,Ola,Toronto,5.3,True,2026-05-17,0.81,60,75.8,71.5,14,"LangChain, Reinforcement Learning, Embeddings, Milvus, OpenSearch",False,0.97,37.0,63.0,AI Engineer | 5.3 yrs exp | 7 AI skills matched | strong semantic match | open to work | active this month | response rate 81%,True,True,AI Engineer | Applied ML | Building intelligent products,"Machine learning engineer with 5.3 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I built our semantic search infrastructure from scratch — sentence-transformers, FAISS, the works. Along the way I've gotten comfortable with the operational side — A/B testing, drift monitoring, retraining schedules. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack."
CAND_0015967,24,0.7165,Advik Sethi,Senior Software Engineer (ML),Razorpay,"Hyderabad, Telangana",5.4,True,2026-05-13,0.45,30,26.1,65.6,17,"QLoRA, YOLO, Pinecone, Object Detection, Semantic Search",True,0.79,23.7,53.2,Senior Software Engineer (ML) | 5.4 yrs exp | 9 AI skills matched | strong semantic match | open to work | active this month | response rate 45%,True,True,Senior Software Engineer (ML) | Data Science & ML enthusiast,"Data scientist / ML engineer with 5.4 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter on the deep-learning side — mostly classical methods like collaborative filtering and gradient-boosted models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems."
CAND_0035879,25,0.7159,Pari Patel,AI Research Engineer,Krutrim,"Noida, Uttar Pradesh",4.5,True,2026-05-26,0.82,120,84.1,88.9,16,"CI/CD, Vue.js, Statistical Modeling, CSS, Pinecone",False,0.65,36.8,44.9,AI Research Engineer | 4.5 yrs exp | 6 AI skills matched | strong semantic match | open to work | active this month | response rate 82%,True,False,AI Research Engineer | Data Science & ML enthusiast,"Data scientist / ML engineer with 4.5 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter on the deep-learning side — mostly classical methods like collaborative filtering and gradient-boosted models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems."
CAND_0088025,26,0.7131,Amit Arora,Staff Machine Learning Engineer,Yellow.ai,"Jaipur, Rajasthan",8.6,True,2026-05-14,0.83,90,74.6,60.3,19,"Pinecone, QLoRA, LLMs, Hugging Face Transformers, RAG",False,0.95,38.5,51.3,Staff Machine Learning Engineer | 8.6 yrs exp | 10 AI skills matched | strong semantic match | open to work | active this month | response rate 83%,True,True,Staff Machine Learning Engineer | Building AI-native search & ranking systems,"Senior AI engineer with 8.6 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval system combining BM25 with dense vector recall, serving 50M+ queries per month. My day-to-day work spans embedding model selection and fine-tuning, hybrid retrieval architecture, learning-to-rank, behavioral-signal integration, and the offline/online evaluation that ties it all together. I've shipped systems in both early-stage product companies and at larger scale, and I've spent enough time on both that I know which tradeoffs apply where. I'm comfortable across the stack from infra to algorithms, but my heart is in retrieval and ranking. Currently exploring my next move — looking for senior IC or tech-lead roles where I can own the intelligence layer end-to-end."
CAND_0030784,27,0.7117,Ved Mukherjee,Data Scientist,Yellow.ai,"Delhi, Delhi",4.4,True,2026-05-24,0.9,90,31.7,97.3,14,"Embeddings, Learning to Rank, Apache Beam, RAG, Pinecone",False,0.66,31.4,32.5,Data Scientist | 4.4 yrs exp | 9 AI skills matched | strong semantic match | open to work | active this month | response rate 90%,True,False,Data Scientist | 4.4 yrs in analytics & ML,"Data scientist / ML engineer with 4.4 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter on the deep-learning side — mostly classical methods like collaborative filtering and gradient-boosted models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems."
CAND_0082086,28,0.711,Aryan Krishnan,Senior Software Engineer (ML),Razorpay,"Delhi, Delhi",6.0,True,2026-05-14,0.85,45,82.6,65.9,14,"Feature Engineering, FAISS, Speech Recognition, Pinecone, Kubeflow",False,0.69,29.6,52.4,Senior Software Engineer (ML) | 6.0 yrs exp | 8 AI skills matched | moderate semantic match | open to work | active this month | response rate 85%,True,False,Senior Software Engineer (ML) | Data Science & ML enthusiast,"Data scientist / ML engineer with 6.0 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've spent the last couple of years building NLP-based classification and information extraction pipelines. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I want to grow into senior AI engineering — get serious about LLMs and retrieval beyond the surface level."
CAND_0064326,29,0.7105,Nisha Pillai,Search Engineer,Sarvam AI,"Gurgaon, Haryana",7.6,True,2026-05-21,0.94,45,61.4,54.1,14,"scikit-learn, PyTorch, Milvus, Deep Learning, Semantic Search",False,0.9,29.2,38.5,Search Engineer | 7.6 yrs exp | 9 AI skills matched | strong semantic match | open to work | active this month | response rate 94%,True,True,"Search Engineer | Search, Ranking & Retrieval","Machine learning engineer with 7.6 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack from feature engineering through deployment. Recently, I shipped our first RAG-based feature this year and now own the eval framework for it. I've spent enough time debugging production ranking issues to know which signals matter and which are noise. My academic background is in CS/ML but my main learning has come from shipping real systems and seeing what holds up under production load. Open to senior IC roles in applied ML or AI engineering, ideally at product companies where I'd own a meaningful piece of the ML stack."
CAND_0067866,30,0.709,Kiara Sethi,Senior Software Engineer (ML),Tech Mahindra,"Noida, Uttar Pradesh",6.4,True,2026-05-22,0.79,45,27.7,97.0,13,"Embeddings, Illustrator, pgvector, Elasticsearch, LoRA",True,0.7,33.5,48.0,Senior Software Engineer (ML) | 6.4 yrs exp | 5 AI skills matched | moderate semantic match | open to work | active this month | response rate 79%,True,True,Senior Software Engineer (ML) | 6.4 yrs in analytics & ML,"Data scientist / ML engineer with 6.4 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. Most of my recent work has been on predictive modeling for customer-facing problems — churn, conversion, lifetime value. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I want to grow into senior AI engineering — get serious about LLMs and retrieval beyond the surface level."
CAND_0043829,31,0.7076,Advaith Joshi,AI Research Engineer,Observe.AI,"Bangalore, Karnataka",4.8,True,2026-05-27,0.78,90,38.7,98.6,15,"Machine Learning, Qdrant, Go, dbt, Hadoop",True,0.69,19.5,36.9,AI Research Engineer | 4.8 yrs exp | 7 AI skills matched | strong semantic match | open to work | active this month | response rate 78%,True,True,AI Research Engineer | 4.8 yrs in analytics & ML,"Data scientist / ML engineer with 4.8 years of experience in applied machine learning. Worked across predictive modeling, NLP, analytics, and lightweight deployment workflows. I've been working on recommendation-style features but lighter on the deep-learning side — mostly classical methods like collaborative filtering and gradient-boosted models. I'm strongest at the modeling and analysis side; comfortable with Python, scikit-learn, pandas, and standard MLOps tooling, but I'm still building depth on the engineering and infra side of production ML. I'm looking to grow into a deeper AI/ML system-building role — closer to retrieval, LLMs, and modern ranking systems."
